Time,Yield1,Yield2,Azide_1,Azide_2,Type,C
0,0.0,0.0,Cys,kArg,pSS,Cys-kArg-pSS
1,8.692903429745549,9.92648780259401,Cys,kArg,pSS,Cys-kArg-pSS
2,17.32089232089234,21.53509388022663,Cys,kArg,pSS,Cys-kArg-pSS
4,16.03501998238842,26.334457086669495,Cys,kArg,pSS,Cys-kArg-pSS
8,21.22084490505544,49.214543241091924,Cys,kArg,pSS,Cys-kArg-pSS
16,27.386597123439234,71.2108442196938,Cys,kArg,pSS,Cys-kArg-pSS
0,0.0,0.0,Cys,kArg,pSS,Cys-kArg-pSS
1,11.470116733274654,2.104696352483968,Cys,kArg,pSS,Cys-kArg-pSS
2,17.031881505565735,25.552512056936845,Cys,kArg,pSS,Cys-kArg-pSS
4,9.797015060172964,21.503488317647623,Cys,kArg,pSS,Cys-kArg-pSS
8,22.026349657928606,54.03380624619564,Cys,kArg,pSS,Cys-kArg-pSS
16,24.099663573347787,69.54979631970784,Cys,kArg,pSS,Cys-kArg-pSS
0,0.0,0.0,Cys,kArg,no_pSS,Cys-kArg-no_pSS
1,2.9761904761904834,0.710165669182086,Cys,kArg,no_pSS,Cys-kArg-no_pSS
2,10.490480914588066,11.44071471940324,Cys,kArg,no_pSS,Cys-kArg-no_pSS
4,39.7250566893424,43.346127157602574,Cys,kArg,no_pSS,Cys-kArg-no_pSS
8,38.4182492441421,42.26190476190478,Cys,kArg,no_pSS,Cys-kArg-no_pSS
16,42.098332388510954,46.75166970248938,Cys,kArg,no_pSS,Cys-kArg-no_pSS
0,0.0,0.0,Cys,kArg,no_pSS,Cys-kArg-no_pSS
1,2.9761904761904834,-0.9541157082140629,Cys,kArg,no_pSS,Cys-kArg-no_pSS
2,25.134637188208625,23.25440194292654,Cys,kArg,no_pSS,Cys-kArg-no_pSS
4,41.80071334089192,39.59038077890539,Cys,kArg,no_pSS,Cys-kArg-no_pSS
8,47.280683106575964,46.99128285193859,Cys,kArg,no_pSS,Cys-kArg-no_pSS
16,47.268872826908556,46.86876572122475,Cys,kArg,no_pSS,Cys-kArg-no_pSS
