Type,Azide1,Azide2,variable,value,C
no_PSS,Cys,LysArg,ER,0.5974999999999999,Cys-no_PSS
no_PSS,Cys,LysArg,ER,0.5866333333333333,Cys-no_PSS
PSS,Cys,LysArg,ER,0.2755,Cys-PSS
PSS,Cys,LysArg,ER,0.31939999999999996,Cys-PSS
seeded_PSS,Cys,LysArg,ER,0.22203499263145404,Cys-seeded_PSS
seeded_PSS,Cys,LysArg,ER,0.2105444265470607,Cys-seeded_PSS
seeded_no_PSS,Cys,LysArg,ER,0.42269542269542265,Cys-seeded_no_PSS
seeded_no_PSS,Cys,LysArg,ER,0.42958224935819583,Cys-seeded_no_PSS
seeded_no_PSS,Cys,LysArg,ER,0.4411308439362295,Cys-seeded_no_PSS
seeded_no_PSS,Cys,LysArg,ER,0.4396771515597349,Cys-seeded_no_PSS
