Time,entry,Refuel_time,EDC,Cycle,variable,value
0.0,00,8min,50mM,00,C3,1.4410999999999998
0.15,00,8min,50mM,00,C3,1.7994999999999999
0.31666666666666665,00,8min,50mM,00,C3,1.8369
0.48333333333333334,00,8min,50mM,00,C3,1.8456
0.65,00,8min,50mM,00,C3,1.8406
0.8166666666666667,00,8min,50mM,00,C3,1.8342999999999998
0.9833333333333333,00,8min,50mM,00,C3,1.8276999999999999
1.15,00,8min,50mM,00,C3,1.8178999999999998
1.3166666666666667,00,8min,50mM,00,C3,1.8071
1.4833333333333334,00,8min,50mM,00,C3,1.7986
1.65,00,8min,50mM,00,C3,1.7875999999999999
1.8166666666666667,00,8min,50mM,00,C3,1.777
1.9833333333333334,00,8min,50mM,00,C3,1.7667
2.1333333333333333,00,8min,50mM,00,C3,1.7547
2.3,00,8min,50mM,00,C3,1.7423
2.466666666666667,00,8min,50mM,00,C3,1.73
2.6333333333333333,00,8min,50mM,00,C3,1.7158
2.8,00,8min,50mM,00,C3,1.7028999999999999
2.966666666666667,00,8min,50mM,00,C3,1.6868999999999998
3.1333333333333333,00,8min,50mM,00,C3,1.6709999999999998
3.3,00,8min,50mM,00,C3,1.6544999999999999
3.466666666666667,00,8min,50mM,00,C3,1.636
3.6333333333333333,00,8min,50mM,00,C3,1.6179
3.783333333333333,00,8min,50mM,00,C3,1.6005
3.95,00,8min,50mM,00,C3,1.5825
4.116666666666666,00,8min,50mM,00,C3,1.5639999999999998
4.283333333333333,00,8min,50mM,00,C3,1.5427
4.45,00,8min,50mM,00,C3,1.5188
4.616666666666666,00,8min,50mM,00,C3,1.4918
4.783333333333333,00,8min,50mM,00,C3,1.4658
4.95,00,8min,50mM,00,C3,1.4404
5.116666666666666,00,8min,50mM,00,C3,1.414
5.283333333333333,00,8min,50mM,00,C3,1.3797
5.45,00,8min,50mM,00,C3,1.3295
5.616666666666666,00,8min,50mM,00,C3,1.2582
5.783333333333333,00,8min,50mM,00,C3,1.1708999999999998
5.95,00,8min,50mM,00,C3,1.0718999999999999
6.116666666666666,00,8min,50mM,00,C3,0.9719000000000001
6.283333333333333,00,8min,50mM,00,C3,0.8775000000000001
6.45,00,8min,50mM,00,C3,0.7867000000000001
6.616666666666666,00,8min,50mM,00,C3,0.7102
6.766666666666667,00,8min,50mM,00,C3,0.643
6.933333333333334,00,8min,50mM,00,C3,0.5850000000000001
7.1,00,8min,50mM,00,C3,0.5405000000000001
7.266666666666667,00,8min,50mM,00,C3,0.5047
7.433333333333334,00,8min,50mM,00,C3,0.46559999999999996
7.6,00,8min,50mM,00,C3,0.431
7.766666666666667,00,8min,50mM,00,C3,0.40049999999999997
7.933333333333334,00,8min,50mM,00,C3,0.3724
0.0,00,8min,50mM,00,C4,1.4292
0.15,00,8min,50mM,00,C4,1.785
