Time,Refuel_time,EDC,Cycle,value
0.0,50min,50mM,00,1.7295
0.15,50min,50mM,00,1.8853
0.31666666666666665,50min,50mM,00,1.914
0.48333333333333334,50min,50mM,00,1.9178
0.65,50min,50mM,00,1.9119
0.8166666666666667,50min,50mM,00,1.9069
0.9833333333333333,50min,50mM,00,1.8979
1.15,50min,50mM,00,1.8878
1.3166666666666667,50min,50mM,00,1.8767
1.4833333333333334,50min,50mM,00,1.8642999999999998
1.65,50min,50mM,00,1.8519999999999999
1.8,50min,50mM,00,1.8377
1.9666666666666666,50min,50mM,00,1.8233
2.1333333333333333,50min,50mM,00,1.8088
2.3,50min,50mM,00,1.7936999999999999
2.466666666666667,50min,50mM,00,1.7777999999999998
2.6333333333333333,50min,50mM,00,1.7599
2.8,50min,50mM,00,1.7424
2.966666666666667,50min,50mM,00,1.7231999999999998
3.1333333333333333,50min,50mM,00,1.7039
3.3,50min,50mM,00,1.682
3.466666666666667,50min,50mM,00,1.6581
3.6333333333333333,50min,50mM,00,1.6319
3.783333333333333,50min,50mM,00,1.6045
3.95,50min,50mM,00,1.5767
4.116666666666666,50min,50mM,00,1.5476999999999999
4.283333333333333,50min,50mM,00,1.521
4.45,50min,50mM,00,1.5007
4.616666666666666,50min,50mM,00,1.4782
4.783333333333333,50min,50mM,00,1.4407999999999999
4.95,50min,50mM,00,1.3768
5.116666666666666,50min,50mM,00,1.2867
5.283333333333333,50min,50mM,00,1.1749999999999998
5.45,50min,50mM,00,1.0543
5.616666666666666,50min,50mM,00,0.9359000000000001
5.783333333333333,50min,50mM,00,0.8308000000000001
5.933333333333334,50min,50mM,00,0.7431000000000001
6.1,50min,50mM,00,0.6705
6.266666666666667,50min,50mM,00,0.6123000000000001
6.433333333333334,50min,50mM,00,0.5593
6.6,50min,50mM,00,0.5059
6.766666666666667,50min,50mM,00,0.46149999999999997
6.933333333333334,50min,50mM,00,0.42429999999999995
7.1,50min,50mM,00,0.3958
7.266666666666667,50min,50mM,00,0.3732
7.433333333333334,50min,50mM,00,0.3524
7.6,50min,50mM,00,0.33449999999999996
7.766666666666667,50min,50mM,00,0.31839999999999996
7.916666666666667,50min,50mM,00,0.30579999999999996
8.083333333333334,50min,50mM,00,0.2963
8.25,50min,50mM,00,0.288
8.416666666666666,50min,50mM,00,0.28009999999999996
8.583333333333334,50min,50mM,00,0.2709
8.75,50min,50mM,00,0.2615
8.916666666666666,50min,50mM,00,0.251
9.083333333333334,50min,50mM,00,0.23809999999999998
9.25,50min,50mM,00,0.2269
9.416666666666666,50min,50mM,00,0.21499999999999997
9.583333333333334,50min,50mM,00,0.2032
9.75,50min,50mM,00,0.19279999999999997
9.916666666666666,50min,50mM,00,0.184
10.066666666666666,50min,50mM,00,0.17719999999999997
10.233333333333333,50min,50mM,00,0.1708
10.4,50min,50mM,00,0.1663
10.566666666666666,50min,50mM,00,0.1629
10.733333333333333,50min,50mM,00,0.1594
10.9,50min,50mM,00,0.15610000000000002
11.066666666666666,50min,50mM,00,0.1522
11.233333333333333,50min,50mM,00,0.1481
11.4,50min,50mM,00,0.1432
11.566666666666666,50min,50mM,00,0.1382
11.733333333333333,50min,50mM,00,0.13240000000000002
11.883333333333333,50min,50mM,00,0.12669999999999998
12.05,50min,50mM,00,0.1219
12.216666666666667,50min,50mM,00,0.11939999999999999
12.383333333333333,50min,50mM,00,0.1165
12.55,50min,50mM,00,0.1135
12.716666666666667,50min,50mM,00,0.1113
12.883333333333333,50min,50mM,00,0.10990000000000001
13.05,50min,50mM,00,0.1082
13.216666666666667,50min,50mM,00,0.10629999999999999
13.383333333333333,50min,50mM,00,0.09979999999999999
13.55,50min,50mM,00,0.09499999999999999
13.716666666666667,50min,50mM,00,0.0924
13.883333333333333,50min,50mM,00,0.09069999999999999
14.033333333333333,50min,50mM,00,0.08919999999999999
14.2,50min,50mM,00,0.0878
14.366666666666667,50min,50mM,00,0.0873
14.533333333333333,50min,50mM,00,0.0853
14.7,50min,50mM,00,0.08370000000000001
14.866666666666667,50min,50mM,00,0.08170000000000001
15.033333333333333,50min,50mM,00,0.08
15.2,50min,50mM,00,0.0777
15.366666666666667,50min,50mM,00,0.07540000000000001
15.533333333333333,50min,50mM,00,0.073
15.7,50min,50mM,00,0.0714
15.866666666666667,50min,50mM,00,0.0702
16.016666666666666,50min,50mM,00,0.0687
16.183333333333334,50min,50mM,00,0.06799999999999999
16.35,50min,50mM,00,0.06680000000000001
16.516666666666666,50min,50mM,00,0.0662
16.683333333333334,50min,50mM,00,0.0652
16.85,50min,50mM,00,0.06449999999999999
17.016666666666666,50min,50mM,00,0.06380000000000001
17.183333333333334,50min,50mM,00,0.06319999999999999
17.35,50min,50mM,00,0.0624
17.516666666666666,50min,50mM,00,0.06180000000000001
17.683333333333334,50min,50mM,00,0.06130000000000001
17.85,50min,50mM,00,0.060999999999999985
18.016666666666666,50min,50mM,00,0.06050000000000001
18.183333333333334,50min,50mM,00,0.060300000000000006
18.333333333333332,50min,50mM,00,0.05969999999999999
18.5,50min,50mM,00,0.059399999999999994
18.666666666666668,50min,50mM,00,0.059300000000000005
18.833333333333332,50min,50mM,00,0.058800000000000005
19.0,50min,50mM,00,0.0586
19.166666666666668,50min,50mM,00,0.0586
19.333333333333332,50min,50mM,00,0.05819999999999999
19.5,50min,50mM,00,0.0581
19.666666666666668,50min,50mM,00,0.05819999999999999
19.833333333333332,50min,50mM,00,0.05800000000000001
20.0,50min,50mM,00,0.057800000000000004
20.166666666666668,50min,50mM,00,0.05789999999999999
20.316666666666666,50min,50mM,00,0.05769999999999999
20.483333333333334,50min,50mM,00,0.05739999999999999
20.65,50min,50mM,00,0.05739999999999999
20.816666666666666,50min,50mM,00,0.05739999999999999
20.983333333333334,50min,50mM,00,0.05700000000000001
21.15,50min,50mM,00,0.0571
21.316666666666666,50min,50mM,00,0.05739999999999999
21.483333333333334,50min,50mM,00,0.05719999999999999
21.65,50min,50mM,00,0.05719999999999999
21.816666666666666,50min,50mM,00,0.05689999999999999
21.983333333333334,50min,50mM,00,0.0568
