time,T,Seed_mM
0.0,0.2,0.2
0.0,0.2,0.2
0.0,0.2,0.2
0.16666666666666666,0.4057176470588235,0.2
0.16666666666666666,0.4539882352941177,0.2
0.16666666666666666,0.4515235294117647,0.2
0.5,0.43980588235294116,0.2
0.5,0.46204117647058823,0.2
0.5,0.4834705882352941,0.2
1.0,0.7071411764705883,0.2
1.0,0.7452823529411765,0.2
1.0,0.7019823529411765,0.2
2.0,0.8955882352941176,0.2
2.0,0.8617294117647059,0.2
2.0,0.8903117647058824,0.2
4.0,0.8397117647058824,0.2
4.0,0.9241176470588236,0.2
4.0,0.8991294117647058,0.2
8.0,0.8892294117647058,0.2
8.0,0.8792764705882352,0.2
8.0,0.9388470588235294,0.2
16.0,0.7288176470588236,0.2
16.0,0.7981882352941176,0.2
16.0,0.8014705882352942,0.2
0.0,0.5,0.5
0.0,0.5,0.5
0.0,0.5,0.5
0.16666666666666666,0.7382882352941177,0.5
0.16666666666666666,0.8323,0.5
0.16666666666666666,0.7822235294117648,0.5
0.5,0.8030529411764705,0.5
0.5,0.8587529411764706,0.5
0.5,0.8143,0.5
1.0,1.0418823529411765,0.5
1.0,1.0234882352941177,0.5
1.0,1.118729411764706,0.5
2.0,1.4086117647058825,0.5
2.0,1.4275352941176471,0.5
2.0,1.4249235294117648,0.5
4.0,1.3528529411764705,0.5
4.0,1.3250823529411764,0.5
4.0,1.4257235294117647,0.5
8.0,1.4118941176470587,0.5
8.0,1.256470588235294,0.5
8.0,1.541805882352941,0.5
16.0,1.3275764705882354,0.5
16.0,1.3296235294117646,0.5
16.0,1.4344176470588237,0.5
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.16,0.0,0.0
0.16,0.0,0.0
0.16,0.0,0.0
0.5,0.05075294117647059,0.0
0.5,0.06422352941176471,0.0
0.5,0.050688235294117645,0.0
1.0,0.17993529411764705,0.0
1.0,0.20021764705882353,0.0
1.0,0.14568235294117646,0.0
2.0,0.5372294117647058,0.0
2.0,0.5341882352941177,0.0
2.0,0.45838823529411765,0.0
4.0,0.6208705882352942,0.0
4.0,0.6602,0.0
4.0,0.5222705882352942,0.0
8.0,0.6479294117647059,0.0
8.0,0.6706941176470588,0.0
8.0,0.4849352941176471,0.0
16.0,0.6719529411764705,0.0
16.0,0.7223352941176471,0.0
16.0,0.6540117647058823,0.0
