,Type,Azide1,Azide2,variable,value,C
0,no_pSS,Cys,Gly,C3,8.835499540501509,Cys-no_pSS
1,no_pSS,Cys,Gly,C3,11.217765042979941,Cys-no_pSS
2,pss,Cys,Gly,C3,5.4663813090779385,Cys-pss
3,pss,Cys,Gly,C3,4.313245640868767,Cys-pss
4,no_pSS,Cys,Gly,C2G,39.818826309570696,Cys-no_pSS
5,no_pSS,Cys,Gly,C2G,41.73352435530086,Cys-no_pSS
6,pss,Cys,Gly,C2G,42.08132691278759,Cys-pss
7,pss,Cys,Gly,C2G,36.02018966044662,Cys-pss
8,no_pSS,Cys,Gly,CG2,37.02244978337928,Cys-no_pSS
9,no_pSS,Cys,Gly,CG2,33.230659025787965,Cys-no_pSS
10,pss,Cys,Gly,CG2,47.458533975387915,Cys-pss
11,pss,Cys,Gly,CG2,53.357295809115946,Cys-pss
12,no_pSS,Cys,Gly,G3,14.323224366548509,Cys-no_pSS
13,no_pSS,Cys,Gly,G3,13.81805157593123,Cys-no_pSS
14,pss,Cys,Gly,G3,4.993757802746567,Cys-pss
15,pss,Cys,Gly,G3,6.309268889568677,Cys-pss
