 ,Angle,Length,Azide,IntDen,RawIntDen
1,0.0,2.525,KR,,
2,-74.476,2.246,KR,,
3,-102.095,1.722,KR,,
4,-127.875,1.371,KR,,
5,0.0,1.323,KR,,
6,0.0,1.804,KR,,
7,161.565,1.521,KR,,
8,78.69,1.226,KR,,
9,155.556,1.453,KR,,
10,-90.0,1.563,KR,,
11,-3.814,1.808,KR,,
12,0.0,1.684,KR,,
13,-139.399,2.217,KR,,
14,-22.62,1.563,KR,,
15,-17.526,2.396,KR,,
16,0.0,1.804,KR,,
17,-4.764,1.448,KR,,
18,-37.875,1.371,KR,,
19,-38.66,1.54,KR,,
20,-171.254,1.582,KR,,
21,-90.0,1.563,KR,,
22,155.556,1.453,KR,,
23,-139.399,2.217,KR,,
24,-3.814,1.808,KR,,
25,-3.814,1.808,KR,,
26,81.87,1.701,KR,,
27,-53.973,1.636,KR,,
28,-41.634,1.448,KR,,
29,-19.654,1.788,KR,,
30,-174.289,1.208,KR,,
31,90.0,1.323,KR,,
32,180.0,1.323,KR,,
33,85.914,1.688,KR,,
34,-158.962,1.675,KR,,
35,75.964,1.983,KR,,
36,63.435,1.344,KR,,
37,-93.814,1.808,KR,,
38,-176.987,2.288,KR,,
39,-90.0,1.804,KR,,
40,-168.69,1.839,KR,,
41,180.0,2.044,KR,,
42,176.424,1.285,KR,,
43,-135.0,1.36,KR,,
44,-169.992,1.384,KR,,
45,180.0,1.122,KR,,
46,-172.569,1.859,KR,,
47,0.0,2.004,KR,,
48,-46.548,2.098,KR,,
49,171.469,1.621,KR,,
50,0.0,1.684,KR,,
51,-2.49,1.846,KR,,
52,0.0,1.363,KR,,
53,-10.125,2.28,KR,,
54,5.711,0.806,KR,,
55,0.0,2.565,KR,,
56,176.424,1.928,KR,,
57,0.0,2.646,KR,,
58,-71.565,2.282,KR,,
59,-168.69,1.839,KR,,
60,-29.745,1.939,KR,,
61,-126.87,1.804,KR,,
62,-143.13,1.804,KR,,
63,-85.914,1.688,KR,,
64,-11.31,2.453,KR,,
65,118.61,1.507,KR,,
66,-168.69,1.839,KR,,
67,180.0,1.323,KR,,
68,-101.31,1.839,KR,,
69,-90.0,2.525,KR,,
70,-128.66,1.54,KR,,
71,87.274,2.528,KR,,
72,-158.962,1.675,KR,,
73,93.18,2.168,KR,,
74,68.962,1.675,KR,,
75,-72.897,1.636,KR,,
76,-51.34,1.54,KR,,
77,-79.216,2.571,KR,,
78,0.0,2.044,KR,,
79,-3.18,2.168,KR,,
80,180.0,1.203,KR,,
81,-167.005,1.604,KR,,
82,-150.642,2.207,KR,,
83,90.0,2.285,KR,,
84,116.565,1.882,KR,,
85,108.435,0.761,KR,,
86,93.576,1.928,KR,,
87,-33.69,1.301,KR,,
88,-25.463,2.797,KR,,
89,0.0,2.165,KR,,
90,-101.31,1.226,KR,,
91,-92.291,3.009,KR,,
92,-86.634,2.048,KR,,
93,149.036,2.104,KR,,
94,105.255,1.371,KR,,
95,3.814,1.808,KR,,
96,-90.0,1.443,KR,,
97,180.0,2.285,KR,,
