 ,Angle,IntDen,RawIntDen,Length
1,-45.000,0,0,2.721
2,5.711,0,0,4.834
3,0.000,0,0,2.405
4,0.000,0,0,4.329
5,-7.125,0,0,1.939
6,90.000,0,0,2.646
7,0.000,0,0,3.608
8,-37.405,0,0,5.147
9,85.601,0,0,3.136
10,-90.000,0,0,2.886
11,153.435,0,0,2.689
12,-21.038,0,0,3.350
13,-90.000,0,0,1.443
14,-99.462,0,0,2.926
15,-63.435,0,0,2.689
16,-4.764,0,0,2.896
17,-69.444,0,0,2.055
18,-147.995,0,0,2.269
19,-85.236,0,0,2.896
20,-14.036,0,0,2.975
21,-3.366,0,0,4.096
22,-8.130,0,0,3.401
23,0.000,0,0,3.848
24,84.806,0,0,2.656
25,5.194,0,0,2.656
26,95.711,0,0,2.417
27,85.601,0,0,3.136
28,0.000,0,0,3.127
29,180.000,0,0,3.127
30,-4.399,0,0,3.136
31,94.764,0,0,2.896
32,90.000,0,0,2.405
33,0.000,0,0,3.608
34,0.000,0,0,3.848
35,-97.125,0,0,3.878
36,-5.711,0,0,4.834
37,-174.806,0,0,2.656
38,-53.973,0,0,3.271
39,85.914,0,0,3.376
40,-11.310,0,0,3.679
41,-165.256,0,0,4.725
42,57.529,0,0,3.136
43,180.000,0,0,3.608
44,-47.291,0,0,4.255
45,125.538,0,0,4.138
46,-9.462,0,0,4.389
47,4.086,0,0,3.376
48,-168.690,0,0,2.453
49,-26.565,0,0,2.689
50,-3.180,0,0,4.336
51,0.000,0,0,4.810
52,0.000,0,0,3.127
53,90.000,0,0,2.405
54,-154.983,0,0,3.981
55,-37.875,0,0,5.484
56,-161.565,0,0,3.803
57,-120.964,0,0,4.207
58,90.000,0,0,4.570
59,3.366,0,0,4.096
60,0.000,0,0,2.886
61,0.000,0,0,2.646
62,81.870,0,0,3.401
63,-90.000,0,0,4.329
64,0.000,0,0,5.291
65,-90.000,0,0,2.886
66,0.000,0,0,4.810
67,-175.914,0,0,3.376
68,-105.945,1558893.634,26951666,3.502
69,90.000,1558893.634,26951666,2.886
70,0.000,0,0,3.367
71,-38.660,0,0,1.540
72,-3.013,0,0,4.576
73,0.000,0,0,2.405
74,-84.806,0,0,2.656
75,-165.069,0,0,3.734
76,-116.565,0,0,3.227
77,77.471,0,0,4.435
78,-5.194,0,0,5.313
79,-90.000,0,0,3.367
80,-90.000,0,0,3.367
81,-90.000,0,0,3.848
82,90.000,0,0,4.810
83,90.000,0,0,1.924
84,-29.745,0,0,3.878
85,172.875,0,0,3.878
86,180.000,0,0,2.405
87,-164.055,0,0,3.502
88,-99.462,0,0,2.926
89,0.000,0,0,2.405
90,90.000,0,0,2.886
91,0.000,0,0,3.848
92,90.000,0,0,1.924
93,-15.945,0,0,3.502
94,-158.199,0,0,2.590
95,-140.194,0,0,3.757
96,-116.565,0,0,4.302
97,4.086,0,0,6.751
98,-18.435,0,0,6.084
99,0.000,0,0,3.367
100,-90.000,0,0,2.886
