 ,Angle,Length
1,0.000,2.525
2,-74.476,2.246
3,-102.095,1.722
4,-127.875,1.371
5,0.000,1.323
6,0.000,1.804
7,161.565,1.521
8,78.690,1.226
9,155.556,1.453
10,-90.000,1.563
11,-3.814,1.808
12,0.000,1.684
13,-139.399,2.217
14,-22.620,1.563
15,-17.526,2.396
16,0.000,1.804
17,-4.764,1.448
18,-37.875,1.371
19,-38.660,1.540
20,-171.254,1.582
21,-90.000,1.563
22,155.556,1.453
23,-139.399,2.217
24,-3.814,1.808
25,-3.814,1.808
26,81.870,1.701
27,-53.973,1.636
28,-41.634,1.448
29,-19.654,1.788
30,-174.289,1.208
31,90.000,1.323
32,180.000,1.323
33,85.914,1.688
34,-158.962,1.675
35,75.964,1.983
36,63.435,1.344
37,-93.814,1.808
38,-176.987,2.288
39,-90.000,1.804
40,-168.690,1.839
41,180.000,2.044
42,176.424,1.285
43,-135.000,1.360
44,-169.992,1.384
45,180.000,1.122
46,-172.569,1.859
47,0.000,2.004
48,-46.548,2.098
49,171.469,1.621
50,0.000,1.684
51,-2.490,1.846
52,0.000,1.363
53,-10.125,2.280
54,5.711,0.806
55,0.000,2.565
56,176.424,1.928
57,0.000,2.646
58,-71.565,2.282
59,-168.690,1.839
60,-29.745,1.939
61,-126.870,1.804
62,-143.130,1.804
63,-85.914,1.688
64,-11.310,2.453
65,118.610,1.507
66,-168.690,1.839
67,180.000,1.323
68,-101.310,1.839
69,-90.000,2.525
70,-128.660,1.540
71,87.274,2.528
72,-158.962,1.675
73,93.180,2.168
74,68.962,1.675
75,-72.897,1.636
76,-51.340,1.540
77,-79.216,2.571
78,0.000,2.044
79,-3.180,2.168
80,180.000,1.203
81,-167.005,1.604
82,-150.642,2.207
83,90.000,2.285
84,116.565,1.882
85,108.435,0.761
86,93.576,1.928
87,-33.690,1.301
88,-25.463,2.797
89,0.000,2.165
90,-101.310,1.226
91,-92.291,3.009
92,-86.634,2.048
93,149.036,2.104
94,105.255,1.371
95,3.814,1.808
96,-90.000,1.443
97,180.000,2.285
98,-170.538,1.463
99,90.000,1.443
100,-36.870,2.104
101,85.914,1.688
