Type,Azide_1,Azide_2,variable,value
No Spin,R,KR,%_A3,7.933380990349454
No Spin,R,KR,%_A3,7.486888153211743
No Spin,R,KR,%_A3,6.269195975616126
Spin,R,KR,%_A3,5.948911139750834
Spin,R,KR,%_A3,5.9002138407087275
Spin,R,KR,%_A3,6.042774330211601
No Spin,G,KR,%_A3,9.209606069414903
No Spin,G,KR,%_A3,10.202322051229938
No Spin,G,KR,%_A3,10.016449625191425
Spin,G,KR,%_A3,9.300851855763593
Spin,G,KR,%_A3,9.184242681825426
Spin,G,KR,%_A3,9.026884720840513
No Spin,C,KR,%_A3,14.05918169527042
No Spin,C,KR,%_A3,12.906774103791161
No Spin,C,KR,%_A3,10.826010061251038
Spin,C,KR,%_A3,11.311374787101286
Spin,C,KR,%_A3,12.286146492672396
Spin,C,KR,%_A3,8.795329641552783
No Spin,R,KR,%_A2B1,32.075417228011325
No Spin,R,KR,%_A2B1,31.505306195220978
No Spin,R,KR,%_A2B1,30.68290241776492
Spin,R,KR,%_A2B1,27.309738607448537
Spin,R,KR,%_A2B1,27.455850996534725
Spin,R,KR,%_A2B1,27.02412503365567
No Spin,G,KR,%_A2B1,37.49147351970228
No Spin,G,KR,%_A2B1,37.64504881007577
No Spin,G,KR,%_A2B1,35.65610031905649
Spin,G,KR,%_A2B1,44.52630773881279
Spin,G,KR,%_A2B1,42.176791691016305
Spin,G,KR,%_A2B1,42.819620022808344
No Spin,C,KR,%_A2B1,43.25364731887165
No Spin,C,KR,%_A2B1,46.46182524913145
No Spin,C,KR,%_A2B1,40.03062816119055
Spin,C,KR,%_A2B1,39.98987533551608
Spin,C,KR,%_A2B1,39.515486373054244
Spin,C,KR,%_A2B1,29.718171450755833
No Spin,R,KR,%_A1B2,43.62087927194743
No Spin,R,KR,%_A1B2,43.84577253529021
No Spin,R,KR,%_A1B2,45.17945573480201
Spin,R,KR,%_A1B2,51.88427348732693
Spin,R,KR,%_A1B2,50.94037454524134
Spin,R,KR,%_A1B2,51.06287041512445
No Spin,G,KR,%_A1B2,38.32052082763702
No Spin,G,KR,%_A1B2,38.68412862741113
No Spin,G,KR,%_A1B2,39.37863630556874
Spin,G,KR,%_A1B2,34.045459015139656
Spin,G,KR,%_A1B2,36.102441162407686
Spin,G,KR,%_A1B2,35.29256545264844
No Spin,C,KR,%_A1B2,29.639196769579247
No Spin,C,KR,%_A1B2,31.7435390956957
No Spin,C,KR,%_A1B2,40.078415662945126
Spin,C,KR,%_A1B2,33.63828725639802
Spin,C,KR,%_A1B2,32.97129841151782
Spin,C,KR,%_A1B2,39.199403100963295
No Spin,R,KR,%_B3,16.370322509691785
No Spin,R,KR,%_B3,17.162033116277055
No Spin,R,KR,%_B3,17.86844587181694
Spin,R,KR,%_B3,14.857076765473712
Spin,R,KR,%_B3,15.703560617515185
Spin,R,KR,%_B3,15.870230221008274
No Spin,G,KR,%_B3,14.978399583245789
No Spin,G,KR,%_B3,13.468500511283162
No Spin,G,KR,%_B3,14.948813750183342
Spin,G,KR,%_B3,12.127381390283965
Spin,G,KR,%_B3,12.53652446475057
Spin,G,KR,%_B3,12.860929803702717
No Spin,C,KR,%_B3,5.957455381684113
No Spin,C,KR,%_B3,6.782123508228166
No Spin,C,KR,%_B3,11.896879933507556
Spin,C,KR,%_B3,5.832972171740532
Spin,C,KR,%_B3,5.873133931891834
Spin,C,KR,%_B3,10.30864047751923
