Type,Azide1,Azide2,Ref,variable,value
pSS,Arg,LysArg,HS-E-09,A3,11.61
pSS,Arg,LysArg,HS-E-09,A3,9.46
no_pSS,Arg,LysArg,HS-E-09,A3,13.18
no_pSS,Arg,LysArg,HS-E-09,A3,13.28
pSS,Gly,LysArg,HS-E-09,A3,2.83
pSS,Gly,LysArg,HS-E-09,A3,5.98
no_pSS,Gly,LysArg,HS-E-09,A3,16.39
no_pSS,Gly,LysArg,HS-E-09,A3,13.48
pSS,Cys,LysArg,HS-E-09,A3,5.02
pSS,Cys,LysArg,HS-E-09,A3,6.49
no_pSS,Cys,LysArg,HS-E-09,A3,19.23
no_pSS,Cys,LysArg,HS-E-09,A3,17.94
pSS,Arg,LysArg,HS-E-09,A2B,45.4
pSS,Arg,LysArg,HS-E-09,A2B,48.99
no_pSS,Arg,LysArg,HS-E-09,A2B,40.48
no_pSS,Arg,LysArg,HS-E-09,A2B,40.43
pSS,Gly,LysArg,HS-E-09,A2B,22.91
pSS,Gly,LysArg,HS-E-09,A2B,27.51
no_pSS,Gly,LysArg,HS-E-09,A2B,44.74
no_pSS,Gly,LysArg,HS-E-09,A2B,43.48
pSS,Cys,LysArg,HS-E-09,A2B,14.86
pSS,Cys,LysArg,HS-E-09,A2B,18.39
no_pSS,Cys,LysArg,HS-E-09,A2B,45.26
no_pSS,Cys,LysArg,HS-E-09,A2B,45.28
pSS,Arg,LysArg,HS-E-09,AB2,36.11
pSS,Arg,LysArg,HS-E-09,AB2,37.13
no_pSS,Arg,LysArg,HS-E-09,AB2,36.1
no_pSS,Arg,LysArg,HS-E-09,AB2,36.38
pSS,Gly,LysArg,HS-E-09,AB2,45.66
pSS,Gly,LysArg,HS-E-09,AB2,41.33
no_pSS,Gly,LysArg,HS-E-09,AB2,31.86
no_pSS,Gly,LysArg,HS-E-09,AB2,34.82
pSS,Cys,LysArg,HS-E-09,AB2,37.87
pSS,Cys,LysArg,HS-E-09,AB2,39.57
no_pSS,Cys,LysArg,HS-E-09,AB2,31.04
no_pSS,Cys,LysArg,HS-E-09,AB2,31.61
pSS,Arg,LysArg,HS-E-09,B3,6.88
pSS,Arg,LysArg,HS-E-09,B3,4.42
no_pSS,Arg,LysArg,HS-E-09,B3,10.23
no_pSS,Arg,LysArg,HS-E-09,B3,9.92
pSS,Gly,LysArg,HS-E-09,B3,28.59
pSS,Gly,LysArg,HS-E-09,B3,25.19
no_pSS,Gly,LysArg,HS-E-09,B3,7.01
no_pSS,Gly,LysArg,HS-E-09,B3,8.21
pSS,Cys,LysArg,HS-E-09,B3,42.25
pSS,Cys,LysArg,HS-E-09,B3,35.55
no_pSS,Cys,LysArg,HS-E-09,B3,4.47
no_pSS,Cys,LysArg,HS-E-09,B3,5.17
