time,Area1,Area2,Cal1,Cal2,mM_1,mM_2,Az_1,Az_2,Ref,Conversion_1,Conversion_2
0.0,,,3.39,6.72,3.2,3.2,KR,C,HS-F-56-02,0.0,0.0
0.0,,,3.39,6.72,3.2,3.2,KR,C,HS-F-56-02,0.0,0.0
0.5,10.1857,18.8003,3.39,6.72,3.004631268436578,2.7976636904761905,KR,C,HS-F-56-02,7.752727442992939,15.965726568405147
1.0,8.8651,17.7039,3.39,6.72,2.6150737463126843,2.634508928571429,KR,C,HS-F-56-02,23.211359273306183,22.44012188208616
2.0,9.8204,17.1227,3.39,6.72,2.8968731563421826,2.548020833333333,KR,C,HS-F-56-02,12.02884300229435,25.87218915343917
4.0,8.3165,16.0207,3.39,6.72,2.453244837758112,2.384032738095238,KR,C,HS-F-56-02,29.633141358805087,32.379653250188966
8.0,7.1191,15.8698,3.39,6.72,2.100029498525074,2.361577380952381,KR,C,HS-F-56-02,43.64962307440184,33.270738851096006
16.0,7.3358,15.4028,3.39,6.72,2.1639528023598817,2.2920833333333333,KR,C,HS-F-56-02,41.11298403333804,36.028439153439166
0.5,10.4922,18.3499,3.39,6.72,3.0950442477876106,2.7306398809523813,KR,C,HS-F-56-02,4.164910802078953,18.625401549508684
1.0,9.7864,17.3304,3.39,6.72,2.886843657817109,2.5789285714285715,KR,C,HS-F-56-02,12.426838975511552,24.64569160997733
2.0,9.781,16.9215,3.39,6.72,2.885250737463127,2.5180803571428574,KR,C,HS-F-56-02,12.490050100669567,27.060303287981856
4.0,9.4231,15.9952,3.39,6.72,2.779675516224189,2.3802380952380955,KR,C,HS-F-56-02,16.67954300697664,32.5302343159486
8.0,7.1622,14.0401,3.39,6.72,2.1127433628318584,2.0893005952380954,KR,C,HS-F-56-02,43.145104649529436,44.07537320483749
16.0,7.3813,13.7387,3.39,6.72,2.1773746312684366,2.0444494047619046,KR,C,HS-F-56-02,40.58037177506205,45.855182350718074
