Type,Azide1,Azide2,Ref,variable,value,C
pSS,Cys,LysArg,HS-E-09,A3,5.02,Cys-pSS
pSS,Cys,LysArg,HS-E-09,A3,6.49,Cys-pSS
no_pSS,Cys,LysArg,HS-E-09,A3,19.23,Cys-no_pSS
no_pSS,Cys,LysArg,HS-E-09,A3,17.94,Cys-no_pSS
pSS,Cys,LysArg,HS-E-09,A2B,14.86,Cys-pSS
pSS,Cys,LysArg,HS-E-09,A2B,18.39,Cys-pSS
no_pSS,Cys,LysArg,HS-E-09,A2B,45.26,Cys-no_pSS
no_pSS,Cys,LysArg,HS-E-09,A2B,45.28,Cys-no_pSS
pSS,Cys,LysArg,HS-E-09,AB2,37.87,Cys-pSS
pSS,Cys,LysArg,HS-E-09,AB2,39.57,Cys-pSS
no_pSS,Cys,LysArg,HS-E-09,AB2,31.04,Cys-no_pSS
no_pSS,Cys,LysArg,HS-E-09,AB2,31.61,Cys-no_pSS
pSS,Cys,LysArg,HS-E-09,B3,42.25,Cys-pSS
pSS,Cys,LysArg,HS-E-09,B3,35.55,Cys-pSS
no_pSS,Cys,LysArg,HS-E-09,B3,4.47,Cys-no_pSS
no_pSS,Cys,LysArg,HS-E-09,B3,5.17,Cys-no_pSS
