Lt,Azide_1,Azide_2,Type,C
13.05,Arg,Arg,Click,Arg-Arg-Click
16.03333333333333,Arg,Arg,Click,Arg-Arg-Click
18.5,Arg,Arg,Click,Arg-Arg-Click
7.0,Arg,Arg,Control,Arg-Arg-Control
5.616666666666666,Arg,Arg,Control,Arg-Arg-Control
5.133333333333334,Arg,Arg,Control,Arg-Arg-Control
6.5,Arg,Arg,Control,Arg-Arg-Control
9.166666666666666,Arg,Arg,pClick,Arg-Arg-pClick
8.4,Arg,Arg,pClick,Arg-Arg-pClick
8.4,Arg,Arg,pClick,Arg-Arg-pClick
8.166666666666666,Arg,Arg,pClick,Arg-Arg-pClick
6.266666666666667,Cys,Cys,Click,Cys-Cys-Click
5.433333333333334,Cys,Cys,Click,Cys-Cys-Click
5.833333333333333,Cys,Cys,Click,Cys-Cys-Click
5.166666666666667,Cys,Cys,Click,Cys-Cys-Click
6.1,Cys,Cys,Control,Cys-Cys-Control
6.1,Cys,Cys,Control,Cys-Cys-Control
6.0,Cys,Cys,Control,Cys-Cys-Control
6.0,Cys,Cys,Control,Cys-Cys-Control
6.166666666666667,Cys,Cys,pClick,Cys-Cys-pClick
5.583333333333333,Cys,Cys,pClick,Cys-Cys-pClick
6.5,Cys,Cys,pClick,Cys-Cys-pClick
4.766666666666667,Cys,Cys,pClick,Cys-Cys-pClick
6.6,Gly,Gly,Click,Gly-Gly-Click
5.933333333333334,Gly,Gly,Click,Gly-Gly-Click
5.5,Gly,Gly,Click,Gly-Gly-Click
5.833333333333333,Gly,Gly,Click,Gly-Gly-Click
6.166666666666667,Gly,Gly,Control,Gly-Gly-Control
5.416666666666667,Gly,Gly,Control,Gly-Gly-Control
5.1,Gly,Gly,Control,Gly-Gly-Control
6.0,Gly,Gly,Control,Gly-Gly-Control
9.166666666666666,Gly,Gly,pClick,Gly-Gly-pClick
5.1,Gly,Gly,pClick,Gly-Gly-pClick
5.583333333333333,Gly,Gly,pClick,Gly-Gly-pClick
6.833333333333333,Gly,Gly,pClick,Gly-Gly-pClick
23.33333333333333,kArg,kArg,Click,kArg-kArg-Click
20.48333333333333,kArg,kArg,Click,kArg-kArg-Click
24.95,kArg,kArg,Click,kArg-kArg-Click
6.333333333333333,kArg,kArg,Control,kArg-kArg-Control
6.666666666666667,kArg,kArg,Control,kArg-kArg-Control
5.916666666666667,kArg,kArg,Control,kArg-kArg-Control
5.416666666666667,kArg,kArg,Control,kArg-kArg-Control
7.166666666666667,kArg,kArg,pClick,kArg-kArg-pClick
7.6,kArg,kArg,pClick,kArg-kArg-pClick
8.666666666666666,kArg,kArg,pClick,kArg-kArg-pClick
7.933333333333334,kArg,kArg,pClick,kArg-kArg-pClick
5.766666666666667,Arg,Arg,noCu,Arg-Arg-noCu
5.45,Arg,Arg,noCu,Arg-Arg-noCu
5.1,Gly,Gly,noCu,Gly-Gly-noCu
4.783333333333333,Gly,Gly,noCu,Gly-Gly-noCu
5.266666666666667,Cys,Cys,noCu,Cys-Cys-noCu
5.916666666666667,Cys,Cys,noCu,Cys-Cys-noCu
5.6,kArg,kArg,noCu,kArg-kArg-noCu
5.8,kArg,kArg,noCu,kArg-kArg-noCu
