um,Gray,Droplet,Ref,Time
0,0,0,in,3.972666667
0.3611,4.47,0,in,3.972666667
0.72221,16.39,0,in,3.972666667
1.08331,47.855,0,in,3.972666667
1.44441,74.5,0,in,3.972666667
1.80552,88.875,0,in,3.972666667
2.16662,82.67,0,in,3.972666667
2.52772,84.47,0,in,3.972666667
2.88883,81.44,0,in,3.972666667
3.24993,72.38,0,in,3.972666667
3.61103,76,0,in,3.972666667
3.97214,78.685,0,in,3.972666667
4.33324,72.02,0,in,3.972666667
4.69434,73.33,0,in,3.972666667
5.05545,78.46,0,in,3.972666667
5.41655,79.75,0,in,3.972666667
5.77765,85.2,0,in,3.972666667
6.13876,79.405,0,in,3.972666667
6.49986,46.93,0,in,3.972666667
6.86096,7.44,0,in,3.972666667
7.22207,2,0,in,3.972666667
0,4.5,1,in,3.972666667
0.3611,17.25,1,in,3.972666667
0.72221,40.5,1,in,3.972666667
1.08331,65,1,in,3.972666667
1.44441,80,1,in,3.972666667
1.80552,84,1,in,3.972666667
2.16662,82.5,1,in,3.972666667
2.52772,80.75,1,in,3.972666667
2.88883,80,1,in,3.972666667
3.24993,80.25,1,in,3.972666667
3.61103,80.75,1,in,3.972666667
3.97214,81,1,in,3.972666667
4.33324,82,1,in,3.972666667
4.69434,83.25,1,in,3.972666667
5.05545,85,1,in,3.972666667
5.41655,86.5,1,in,3.972666667
5.77765,87.25,1,in,3.972666667
6.13876,83.5,1,in,3.972666667
6.49986,68.75,1,in,3.972666667
6.86096,44.25,1,in,3.972666667
7.22207,19.75,1,in,3.972666667
7.58317,5.25,1,in,3.972666667
0,0.5,2,in,3.972666667
0.3611,4.4722,2,in,3.972666667
0.72221,19.5741,2,in,3.972666667
1.08331,45.5833,2,in,3.972666667
1.44441,72.4352,2,in,3.972666667
1.80552,82.9907,2,in,3.972666667
2.16662,83.3333,2,in,3.972666667
2.52772,78.4444,2,in,3.972666667
2.88883,74.3796,2,in,3.972666667
3.24993,71.25,2,in,3.972666667
3.61103,71.2593,2,in,3.972666667
3.97214,72.3611,2,in,3.972666667
4.33324,75.3333,2,in,3.972666667
4.69434,79.5463,2,in,3.972666667
5.05545,80.963,2,in,3.972666667
5.41655,73.0833,2,in,3.972666667
5.77765,51.8889,2,in,3.972666667
6.13876,25.3056,2,in,3.972666667
6.49986,5.5,2,in,3.972666667
0,0,3,in,3.972666667
0.3611,0,3,in,3.972666667
0.72221,0,3,in,3.972666667
1.08331,0,3,in,3.972666667
1.44441,1.26,3,in,3.972666667
1.80552,9.8,3,in,3.972666667
2.16662,30.64,3,in,3.972666667
2.52772,57.72,3,in,3.972666667
2.88883,80.1,3,in,3.972666667
3.24993,90,3,in,3.972666667
3.61103,89.1,3,in,3.972666667
3.97214,85.88,3,in,3.972666667
4.33324,82.74,3,in,3.972666667
4.69434,82,3,in,3.972666667
5.05545,81.78,3,in,3.972666667
5.41655,81,3,in,3.972666667
5.77765,81,3,in,3.972666667
6.13876,81.32,3,in,3.972666667
6.49986,82.72,3,in,3.972666667
6.86096,79.2,3,in,3.972666667
7.22207,63.3,3,in,3.972666667
7.58317,37,3,in,3.972666667
7.94427,13.28,3,in,3.972666667
8.30538,1.92,3,in,3.972666667
8.66648,0,3,in,3.972666667
9.02758,0,3,in,3.972666667
0,1.5,4,in,3.972666667
0.3611,5.67,4,in,3.972666667
0.72221,20.94,4,in,3.972666667
1.08331,45.3675,4,in,3.972666667
1.44441,67.78,4,in,3.972666667
1.80552,79.4375,4,in,3.972666667
2.16662,80.54,4,in,3.972666667
2.52772,79.65,4,in,3.972666667
2.88883,79.18,4,in,3.972666667
3.24993,78.935,4,in,3.972666667
3.61103,79.5,4,in,3.972666667
3.97214,78.9575,4,in,3.972666667
4.33324,79.42,4,in,3.972666667
4.69434,81.9825,4,in,3.972666667
5.05545,88.7,4,in,3.972666667
5.41655,90.6875,4,in,3.972666667
5.77765,80.02,4,in,3.972666667
6.13876,53.135,4,in,3.972666667
6.49986,21.66,4,in,3.972666667
6.86096,2.8975,4,in,3.972666667
7.22207,0,4,in,3.972666667
0,3.5,5,in,3.972666667
0.3611,16.4144,5,in,3.972666667
0.72221,41.9012,5,in,3.972666667
1.08331,65.1667,5,in,3.972666667
1.44441,77.0556,5,in,3.972666667
1.80552,77.659,5,in,3.972666667
2.16662,76.5,5,in,3.972666667
2.52772,75.5571,5,in,3.972666667
2.88883,76.5679,5,in,3.972666667
3.24993,76.4375,5,in,3.972666667
3.61103,77.0309,5,in,3.972666667
3.97214,78.4992,5,in,3.972666667
4.33324,82.7778,5,in,3.972666667
4.69434,87.5633,5,in,3.972666667
5.05545,89.6296,5,in,3.972666667
5.41655,81.7708,5,in,3.972666667
5.77765,58.4444,5,in,3.972666667
6.13876,28.9977,5,in,3.972666667
6.49986,8.5,5,in,3.972666667
0,2,6,in,3.972666667
0.3611,6.7895,6,in,3.972666667
0.72221,22.1842,6,in,3.972666667
1.08331,47.3684,6,in,3.972666667
1.44441,70.5,6,in,3.972666667
1.80552,82,6,in,3.972666667
2.16662,80.2895,6,in,3.972666667
2.52772,74.7895,6,in,3.972666667
2.88883,69.4211,6,in,3.972666667
3.24993,67.2105,6,in,3.972666667
3.61103,65.9474,6,in,3.972666667
3.97214,69.4211,6,in,3.972666667
4.33324,71.9211,6,in,3.972666667
4.69434,75.6842,6,in,3.972666667
5.05545,71.6316,6,in,3.972666667
5.41655,53.3684,6,in,3.972666667
5.77765,29.1842,6,in,3.972666667
6.13876,7.6316,6,in,3.972666667
6.49986,0.9737,6,in,3.972666667
6.86096,0,6,in,3.972666667
0,0,7,in,3.972666667
0.3611,0,7,in,3.972666667
0.72221,0.33,7,in,3.972666667
1.08331,2.32,7,in,3.972666667
1.44441,9.08,7,in,3.972666667
1.80552,29,7,in,3.972666667
2.16662,54.02,7,in,3.972666667
2.52772,72.16,7,in,3.972666667
2.88883,74.31,7,in,3.972666667
3.24993,71.04,7,in,3.972666667
3.61103,69,7,in,3.972666667
3.97214,70,7,in,3.972666667
4.33324,70.91,7,in,3.972666667
4.69434,72.68,7,in,3.972666667
5.05545,75.66,7,in,3.972666667
5.41655,80.4,7,in,3.972666667
5.77765,84.67,7,in,3.972666667
6.13876,87.36,7,in,3.972666667
6.49986,90.95,7,in,3.972666667
6.86096,90.32,7,in,3.972666667
7.22207,74.9,7,in,3.972666667
7.58317,47.32,7,in,3.972666667
7.94427,19.6,7,in,3.972666667
8.30538,3.88,7,in,3.972666667
8.66648,0.43,7,in,3.972666667
9.02758,0,7,in,3.972666667
0,0,8,in,3.972666667
0.3611,0.16,8,in,3.972666667
0.72221,1.4,8,in,3.972666667
1.08331,5.8,8,in,3.972666667
1.44441,20.1,8,in,3.972666667
1.80552,46,8,in,3.972666667
2.16662,66.8,8,in,3.972666667
2.52772,72.8,8,in,3.972666667
2.88883,72.36,8,in,3.972666667
3.24993,70.32,8,in,3.972666667
3.61103,70,8,in,3.972666667
3.97214,70.56,8,in,3.972666667
4.33324,71.9,8,in,3.972666667
4.69434,74,8,in,3.972666667
5.05545,78.2,8,in,3.972666667
5.41655,84,8,in,3.972666667
5.77765,87.74,8,in,3.972666667
6.13876,89.64,8,in,3.972666667
6.49986,90.68,8,in,3.972666667
6.86096,83.92,8,in,3.972666667
7.22207,63,8,in,3.972666667
7.58317,33.2,8,in,3.972666667
7.94427,9.82,8,in,3.972666667
8.30538,1.44,8,in,3.972666667
8.66648,0,8,in,3.972666667
9.02758,0,8,in,3.972666667
0,1,9,in,3.972666667
0.3611,8.545,9,in,3.972666667
0.72221,28.4875,9,in,3.972666667
1.08331,54.9719,9,in,3.972666667
1.44441,72.72,9,in,3.972666667
1.80552,74.25,9,in,3.972666667
2.16662,68.2725,9,in,3.972666667
2.52772,63.1494,9,in,3.972666667
2.88883,63.26,9,in,3.972666667
3.24993,63.7944,9,in,3.972666667
3.61103,64.4375,9,in,3.972666667
3.97214,64.4556,9,in,3.972666667
4.33324,65.22,9,in,3.972666667
4.69434,66.2994,9,in,3.972666667
5.05545,68.89,9,in,3.972666667
5.41655,66.7812,9,in,3.972666667
5.77765,50.92,9,in,3.972666667
6.13876,25.1038,9,in,3.972666667
6.49986,6.64,9,in,3.972666667
6.86096,0,9,in,3.972666667
7.22207,0,9,in,3.972666667
0,3,10,in,3.972666667
0.3611,13.6667,10,in,3.972666667
0.72221,36.5,10,in,3.972666667
1.08331,64,10,in,3.972666667
1.44441,78.6667,10,in,3.972666667
1.80552,77.75,10,in,3.972666667
2.16662,73.5,10,in,3.972666667
2.52772,72.5833,10,in,3.972666667
2.88883,71,10,in,3.972666667
3.24993,71,10,in,3.972666667
3.61103,71.1667,10,in,3.972666667
3.97214,72,10,in,3.972666667
4.33324,72,10,in,3.972666667
4.69434,77.3333,10,in,3.972666667
5.05545,76.5,10,in,3.972666667
5.41655,62.25,10,in,3.972666667
5.77765,34,10,in,3.972666667
6.13876,11.1667,10,in,3.972666667
6.49986,2,10,in,3.972666667
0,0,11,in,3.972666667
0.3611,3.322,11,in,3.972666667
0.72221,16.8855,11,in,3.972666667
1.08331,42.4286,11,in,3.972666667
1.44441,68.839,11,in,3.972666667
1.80552,82.6871,11,in,3.972666667
2.16662,83.6429,11,in,3.972666667
2.52772,80.5556,11,in,3.972666667
2.88883,78.2619,11,in,3.972666667
3.24993,75.2449,11,in,3.972666667
3.61103,73.1621,11,in,3.972666667
3.97214,74.7188,11,in,3.972666667
4.33324,80.4388,11,in,3.972666667
4.69434,85.941,11,in,3.972666667
5.05545,85.6667,11,in,3.972666667
5.41655,83.5306,11,in,3.972666667
5.77765,73.5431,11,in,3.972666667
6.13876,50.0476,11,in,3.972666667
6.49986,22.3878,11,in,3.972666667
6.86096,4.288,11,in,3.972666667
7.22207,1.2086,11,in,3.972666667
7.58317,0,11,in,3.972666667
0,0,0,out,4.010333333
0.3611,0.0665,0,out,4.010333333
0.72221,0.892,0,out,4.010333333
1.08331,6.6011,0,out,4.010333333
1.44441,28.9238,0,out,4.010333333
1.80552,47.3435,0,out,4.010333333
2.16662,43.8199,0,out,4.010333333
2.52772,49.723,0,out,4.010333333
2.88883,47.2285,0,out,4.010333333
3.24993,52.3975,0,out,4.010333333
3.61103,50.6357,0,out,4.010333333
3.97214,46.6856,0,out,4.010333333
4.33324,46.6648,0,out,4.010333333
4.69434,45.2202,0,out,4.010333333
5.05545,52.9044,0,out,4.010333333
5.41655,58.403,0,out,4.010333333
5.77765,47.1288,0,out,4.010333333
6.13876,26.2535,0,out,4.010333333
6.49986,5.9917,0,out,4.010333333
6.86096,1.5,0,out,4.010333333
0,1,1,out,4.010333333
0.3611,1.107,1,out,4.010333333
0.72221,14.1687,1,out,4.010333333
1.08331,36.0926,1,out,4.010333333
1.44441,42.7984,1,out,4.010333333
1.80552,53.6564,1,out,4.010333333
2.16662,44.963,1,out,4.010333333
2.52772,52.8683,1,out,4.010333333
2.88883,46.4979,1,out,4.010333333
3.24993,45.6667,1,out,4.010333333
3.61103,50.7737,1,out,4.010333333
3.97214,46.8909,1,out,4.010333333
4.33324,47.1111,1,out,4.010333333
4.69434,49.7222,1,out,4.010333333
5.05545,54.6584,1,out,4.010333333
5.41655,48.9444,1,out,4.010333333
5.77765,51.4362,1,out,4.010333333
6.13876,47.8909,1,out,4.010333333
6.49986,44.6667,1,out,4.010333333
6.86096,50.6811,1,out,4.010333333
7.22207,50.4856,1,out,4.010333333
7.58317,45.9444,1,out,4.010333333
7.94427,46.7037,1,out,4.010333333
8.30538,45.179,1,out,4.010333333
8.66648,32.3333,1,out,4.010333333
9.02758,12.9403,1,out,4.010333333
9.38869,3.3374,1,out,4.010333333
9.74979,1,1,out,4.010333333
0,3.5,2,out,4.010333333
0.3611,7.7078,2,out,4.010333333
0.72221,21.3477,2,out,4.010333333
1.08331,40.9753,2,out,4.010333333
1.44441,46.6077,2,out,4.010333333
1.80552,49.5748,2,out,4.010333333
2.16662,45.358,2,out,4.010333333
2.52772,46.358,2,out,4.010333333
2.88883,49.1612,2,out,4.010333333
3.24993,46,2,out,4.010333333
3.61103,56.1385,2,out,4.010333333
3.97214,57.5624,2,out,4.010333333
4.33324,57.3395,2,out,4.010333333
4.69434,49.4829,2,out,4.010333333
5.05545,56.725,2,out,4.010333333
5.41655,50.6049,2,out,4.010333333
5.77765,49.4527,2,out,4.010333333
6.13876,52.9918,2,out,4.010333333
6.49986,50,2,out,4.010333333
6.86096,51.4225,2,out,4.010333333
7.22207,55.0679,2,out,4.010333333
7.58317,52.3333,2,out,4.010333333
7.94427,44.8745,2,out,4.010333333
8.30538,32.6433,2,out,4.010333333
8.66648,14.5123,2,out,4.010333333
