Time,Azide_1,Azide_2,Type,C,Yield1,Yield2
0,Gly,kArg,no_droplets,Gly-kArg-no_pSS,0.0,0.0
1,Gly,kArg,no_droplets,Gly-kArg-no_pSS,0.40130395683452,9.36917249417249
2,Gly,kArg,no_droplets,Gly-kArg-no_pSS,14.360386690647486,22.242132867132877
4,Gly,kArg,no_droplets,Gly-kArg-no_pSS,40.23044064748202,47.51165501165502
8,Gly,kArg,no_droplets,Gly-kArg-no_pSS,40.52664118705036,49.031177156177165
16,Gly,kArg,no_droplets,Gly-kArg-no_pSS,40.879608812949634,49.08581002331003
0,Gly,kArg,no_droplets,Gly-kArg-no_pSS,0.0,0.0
1,Gly,kArg,no_droplets,Gly-kArg-no_pSS,11.731677158273376,21.14000582750583
2,Gly,kArg,no_droplets,Gly-kArg-no_pSS,30.936375899280566,39.696241258741274
4,Gly,kArg,no_droplets,Gly-kArg-no_pSS,40.99089478417265,49.64233682983683
8,Gly,kArg,no_droplets,Gly-kArg-no_pSS,40.40580035971223,49.856497668997676
16,Gly,kArg,no_droplets,Gly-kArg-no_pSS,41.75247302158273,50.28554778554779
0,Gly,kArg,pSS,Gly-kArg-pSS,0.0,0.0
1,Gly,kArg,pSS,Gly-kArg-pSS,14.473655202821872,1.0186209439528027
2,Gly,kArg,pSS,Gly-kArg-pSS,14.51444003527337,10.611172566371701
4,Gly,kArg,pSS,Gly-kArg-pSS,19.373346560846564,26.56618731563423
8,Gly,kArg,pSS,Gly-kArg-pSS,27.64991181657848,45.5014749262537
16,Gly,kArg,pSS,Gly-kArg-pSS,30.10692239858907,53.103797935103245
0,Gly,kArg,pSS,Gly-kArg-pSS,0.0,0.0
1,Gly,kArg,pSS,Gly-kArg-pSS,16.486992945326282,7.15984513274337
2,Gly,kArg,pSS,Gly-kArg-pSS,20.161485890652557,18.742625368731574
4,Gly,kArg,pSS,Gly-kArg-pSS,22.80753968253968,31.739491150442483
8,Gly,kArg,pSS,Gly-kArg-pSS,27.73313492063492,46.212205014749266
16,Gly,kArg,pSS,Gly-kArg-pSS,32.539682539682545,57.888089970501476
0,Cys,Gly,no_droplets,Cys-Gly-no_pSS,0.0,0.0
1,Cys,Gly,no_droplets,Cys-Gly-no_pSS,38.90811011904762,14.612185251798568
2,Cys,Gly,no_droplets,Cys-Gly-no_pSS,46.43880208333334,24.80946492805755
4,Cys,Gly,no_droplets,Cys-Gly-no_pSS,63.484933035714285,47.0402428057554
8,Cys,Gly,no_droplets,Cys-Gly-no_pSS,65.3497023809524,49.32778776978417
16,Cys,Gly,no_droplets,Cys-Gly-no_pSS,66.35230654761905,49.167603417266186
0,Cys,Gly,no_droplets,Cys-Gly-no_pSS,0.0,0.0
1,Cys,Gly,no_droplets,Cys-Gly-no_pSS,39.35965401785714,14.834757194244611
2,Cys,Gly,no_droplets,Cys-Gly-no_pSS,49.51032366071429,28.286308453237414
4,Cys,Gly,no_droplets,Cys-Gly-no_pSS,62.58417038690476,46.12297661870503
8,Cys,Gly,no_droplets,Cys-Gly-no_pSS,62.739955357142854,46.43941097122302
16,Cys,Gly,no_droplets,Cys-Gly-no_pSS,62.61439732142856,45.29788669064748
0,Cys,Gly,pSS,Cys-Gly-pSS,0.0,0.0
1,Cys,Gly,pSS,Cys-Gly-pSS,46.952347083926036,24.769620811287474
2,Cys,Gly,pSS,Cys-Gly-pSS,59.78396159317212,44.06415343915345
4,Cys,Gly,pSS,Cys-Gly-pSS,63.81223328591751,50.21274250440917
8,Cys,Gly,pSS,Cys-Gly-pSS,78.62064366998578,72.33686067019401
16,Cys,Gly,pSS,Cys-Gly-pSS,61.47448435277383,48.04728835978837
0,Cys,Gly,pSS,Cys-Gly-pSS,0.0,0.0
1,Cys,Gly,pSS,Cys-Gly-pSS,46.62428876244666,24.164462081128754
2,Cys,Gly,pSS,Cys-Gly-pSS,62.47288406827881,47.428902116402114
4,Cys,Gly,pSS,Cys-Gly-pSS,65.74279871977241,53.23192239858907
8,Cys,Gly,pSS,Cys-Gly-pSS,69.1518492176387,58.734016754850096
16,Cys,Gly,pSS,Cys-Gly-pSS,67.65780583214794,56.796186067019406
0,Arg,Gly,pSS,Arg-Gly-pSS,0.0,0.0
1,Arg,Gly,pSS,Arg-Gly-pSS,17.496890547263668,23.77810846560846
2,Arg,Gly,pSS,Arg-Gly-pSS,24.60276741293532,24.477513227513235
4,Arg,Gly,pSS,Arg-Gly-pSS,43.18796641791045,31.387235449735456
8,Arg,Gly,pSS,Arg-Gly-pSS,60.88386194029851,42.74636243386244
16,Arg,Gly,pSS,Arg-Gly-pSS,66.6728855721393,41.130401234567906
0,Arg,Gly,pSS,Arg-Gly-pSS,0.0,0.0
1,Arg,Gly,pSS,Arg-Gly-pSS,27.472014925373127,29.474206349206344
2,Arg,Gly,pSS,Arg-Gly-pSS,36.333955223880594,33.53174603174603
4,Arg,Gly,pSS,Arg-Gly-pSS,48.997201492537314,34.36948853615521
8,Arg,Gly,pSS,Arg-Gly-pSS,65.04664179104476,41.77248677248678
16,Arg,Gly,pSS,Arg-Gly-pSS,73.39163557213931,46.985780423280424
0,Arg,Cys,pSS,Arg-Cys-pSS,0.0,0.0
1,Arg,Cys,pSS,Arg-Cys-pSS,22.66542288557214,29.358463726884786
2,Arg,Cys,pSS,Arg-Cys-pSS,31.277363184079597,31.785561877667146
4,Arg,Cys,pSS,Arg-Cys-pSS,45.333333333333336,33.87588904694168
8,Arg,Cys,pSS,Arg-Cys-pSS,53.49440298507463,35.8296586059744
16,Arg,Cys,pSS,Arg-Cys-pSS,55.89925373134328,37.05192034139403
0,Arg,Cys,pSS,Arg-Cys-pSS,0.0,0.0
1,Arg,Cys,pSS,Arg-Cys-pSS,24.523009950248753,29.15540540540541
2,Arg,Cys,pSS,Arg-Cys-pSS,39.705845771144276,35.70341394025605
4,Arg,Cys,pSS,Arg-Cys-pSS,46.049751243781095,32.05120910384069
8,Arg,Cys,pSS,Arg-Cys-pSS,60.21455223880597,40.604196301564734
16,Arg,Cys,pSS,Arg-Cys-pSS,62.88184079601991,39.827524893314376
0,Arg,kArg,pSS,Arg-kArg-pSS,0.0,0.0
1,Arg,kArg,pSS,Arg-kArg-pSS,23.573106688778324,-15.224516551950174
2,Arg,kArg,pSS,Arg-kArg-pSS,26.757704532891104,-10.559038020321196
4,Arg,kArg,pSS,Arg-kArg-pSS,34.20916252072968,3.8173959357587646
8,Arg,kArg,pSS,Arg-kArg-pSS,41.85150635710338,13.968780727630298
16,Arg,kArg,pSS,Arg-kArg-pSS,56.19212962962964,35.86426581448706
0,Arg,kArg,pSS,Arg-kArg-pSS,0.0,0.0
1,Arg,kArg,pSS,Arg-kArg-pSS,26.812983692647872,-7.381801048836438
2,Arg,kArg,pSS,Arg-kArg-pSS,27.472878662244344,-2.3926581448705275
4,Arg,kArg,pSS,Arg-kArg-pSS,31.49616500829189,10.036668305473627
8,Arg,kArg,pSS,Arg-kArg-pSS,40.622408789386405,23.95628482464767
16,Arg,kArg,pSS,Arg-kArg-pSS,52.750138197899396,32.89700098328419
0,Arg,Gly,no_droplets,Arg-Gly-no_pSS,0.0,0.0
1,Arg,Gly,no_droplets,Arg-Gly-no_pSS,25.190203315203313,30.441271982414065
2,Arg,Gly,no_droplets,Arg-Gly-no_pSS,50.863603988604,51.058528177458044
4,Arg,Gly,no_droplets,Arg-Gly-no_pSS,57.89141414141415,58.974070743405285
8,Arg,Gly,no_droplets,Arg-Gly-no_pSS,58.80681818181819,59.28007593924861
16,Arg,Gly,no_droplets,Arg-Gly-no_pSS,70.06766381766381,62.64301059152678
0,Arg,Gly,no_droplets,Arg-Gly-no_pSS,0.0,0.0
1,Arg,Gly,no_droplets,Arg-Gly-no_pSS,45.60670810670812,40.45700939248601
2,Arg,Gly,no_droplets,Arg-Gly-no_pSS,64.77029914529915,57.50399680255796
4,Arg,Gly,no_droplets,Arg-Gly-no_pSS,70.38574851074853,63.885141886490814
8,Arg,Gly,no_droplets,Arg-Gly-no_pSS,69.80623543123544,64.24235611510791
16,Arg,Gly,no_droplets,Arg-Gly-no_pSS,70.3258547008547,66.7484762190248
0,Arg,Cys,no_droplets,Arg-Cys-no_pSS,0.0,0.0
1,Arg,Cys,no_droplets,Arg-Cys-no_pSS,28.550731675731683,41.94258432539683
2,Arg,Cys,no_droplets,Arg-Cys-no_pSS,41.17456617456617,52.11846891534393
4,Arg,Cys,no_droplets,Arg-Cys-no_pSS,59.29972804972806,67.8628265542328
8,Arg,Cys,no_droplets,Arg-Cys-no_pSS,61.76994301994303,71.31386408730161
16,Arg,Cys,no_droplets,Arg-Cys-no_pSS,60.141478891478904,68.10774222883599
0,Arg,Cys,no_droplets,Arg-Cys-no_pSS,0.0,0.0
1,Arg,Cys,no_droplets,Arg-Cys-no_pSS,24.541893291893306,35.369646990740755
2,Arg,Cys,no_droplets,Arg-Cys-no_pSS,48.48161098161099,56.37659143518518
4,Arg,Cys,no_droplets,Arg-Cys-no_pSS,58.5356772856773,64.98687582671958
8,Arg,Cys,no_droplets,Arg-Cys-no_pSS,60.164141414141426,66.66149966931218
16,Arg,Cys,no_droplets,Arg-Cys-no_pSS,59.55144392644394,68.04005456349206
0,Arg,kArg,no_droplets,Arg-kArg-no_pSS,0.0,0.0
1,Arg,kArg,no_droplets,Arg-kArg-no_pSS,24.32983682983685,6.672494172494166
2,Arg,kArg,no_droplets,Arg-kArg-no_pSS,46.1457523957524,33.19493006993008
4,Arg,kArg,no_droplets,Arg-kArg-no_pSS,57.40902615902617,48.55688293188294
8,Arg,kArg,no_droplets,Arg-kArg-no_pSS,59.40332815332816,50.5859880859881
16,Arg,kArg,no_droplets,Arg-kArg-no_pSS,61.4097707847708,52.45159932659934
0,Arg,kArg,no_droplets,Arg-kArg-no_pSS,0.0,0.0
1,Arg,kArg,no_droplets,Arg-kArg-no_pSS,27.838480963480972,11.809602434602438
2,Arg,kArg,no_droplets,Arg-kArg-no_pSS,40.69460631960632,26.696451696451696
4,Arg,kArg,no_droplets,Arg-kArg-no_pSS,56.772856772856784,46.487308987309
8,Arg,kArg,no_droplets,Arg-kArg-no_pSS,58.326858326858336,48.5884485884486
16,Arg,kArg,no_droplets,Arg-kArg-no_pSS,54.39491064491065,44.46791634291635
0,Arg,kArg,pSS,Arg-kArg-pSS,0.0,0.0
1,Arg,kArg,pSS,Arg-kArg-pSS,5.072850035536602,-0.5384651402350391
