time,Area1,Area2,Cal1,Cal2,mM_1,mM_2,Az_1,Az_2,Ref,Conversion_1,Conversion_2
0.0,,,3.39,6.72,,3.2,C,C,HS-F-56-01,,0.0
0.0,,,3.39,6.72,,3.2,C,C,HS-F-56-01,,0.0
0.5,,19.4668,3.39,6.72,,2.896845238095238,C,C,HS-F-56-01,,12.029950869236592
1.0,,17.667,3.39,6.72,,2.6290178571428573,C,C,HS-F-56-01,,22.658021541950113
2.0,,14.8156,3.39,6.72,,2.204702380952381,C,C,HS-F-56-01,,39.49593726379442
4.0,,7.6178,3.39,6.72,,1.1336011904761905,C,C,HS-F-56-01,,81.99995275888134
8.0,,8.164,3.39,6.72,,1.2148809523809523,C,C,HS-F-56-01,,78.77456538170826
16.0,,8.3474,3.39,6.72,,1.2421726190476192,C,C,HS-F-56-01,,77.69156273620558
0.5,,19.0793,3.39,6.72,,2.839181547619048,C,C,HS-F-56-01,,14.318192554799698
1.0,,17.9083,3.39,6.72,,2.6649255952380955,C,C,HS-F-56-01,,21.23311130007558
2.0,,14.1463,3.39,6.72,,2.1051041666666666,C,C,HS-F-56-01,,43.44824735449737
4.0,,8.2479,3.39,6.72,,1.2273660714285715,C,C,HS-F-56-01,,78.27912414965988
8.0,,8.2449,3.39,6.72,,1.2269196428571427,C,C,HS-F-56-01,,78.29683956916101
16.0,,8.7938,3.39,6.72,,1.3086011904761905,C,C,HS-F-56-01,,75.05550831443689
